data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_hrs,duration_min,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare_USD,prices_lowfareplus_USD,prices_flex_USD,prices_prem_USD,prices_premflex_USD,prices_lowfare_GBP,prices_lowfareplus_GBP,prices_flex_GBP,prices_prem_GBP,prices_premflex_GBP,prices_lowfare_EUR,prices_lowfareplus_EUR,prices_flex_EUR,prices_prem_EUR,prices_premflex_EUR,prices_lowfare_SEK,prices_lowfareplus_SEK,prices_flex_SEK,prices_prem_SEK,prices_premflex_SEK
19-06-02 12:34:25,DY7700,JFK,CPH,6/4/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,,,,1214.6,1351.4,,,,966.6,1074.7,,,,1031.85,1154.35,,,,11785,13103
19-06-02 12:34:25,DI7018,JFK,CPH,6/4/2019,22:10,18:15 +1,14,5,845,1,D82908,London,5h 15m,516,606,1066,681,1286,369.4,419.4,774.6,484.4,934.6,432.3,502.3,948.98,583.26,1145.42,4640,5190,10201,6265,12315
19-06-02 12:34:25,DY7002,JFK,CPH,6/4/2019,22:05,18:35 +1,14,30,870,1,DY948,Oslo,6h 0m,578.8,668.8,1004.5,,,390.8,440.8,664.1,,,444.99,514.99,754.6,,,4766,5316,8098,,
19-06-02 12:34:40,DY7012,JFK,CPH,6/5/2019,23:30,13:05 +1,7,35,455,0,,,,469.9,559.9,764.9,,1094.9,375.6,425.6,621,,902.1,425.52,495.52,703.65,,1022.24,4579,5129,7572,,11001
19-06-02 12:34:40,DI7016,JFK,CPH,6/5/2019,23:00,16:25 +1,11,25,685,1,D82906,London,2h 35m,500.8,590.8,914,1080.8,1134,357.4,407.4,654.5,772.4,814.5,418.69,488.69,812.87,961.67,1009.31,4494,5044,8736,10338,10850
19-06-02 12:34:40,DI7018,JFK,CPH,6/5/2019,22:25,16:25 +1,12,0,720,1,D82906,London,3h 10m,550.8,640.8,914,1080.8,1134,387.4,437.4,654.5,772.4,814.5,453.59,523.59,812.87,961.67,1009.31,4870,5420,8736,10338,10850
19-06-02 12:34:40,DI7016,JFK,CPH,6/5/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,523.6,613.6,1066,1103.6,1286,375.4,425.4,774.6,790.4,934.6,439.11,509.11,948.98,982.09,1145.42,4713,5263,10201,10557,12315
19-06-02 12:34:40,DY7704,JFK,CPH,6/5/2019,23:55,19:40 +1,13,45,825,1,D86112,Madrid,3h 25m,560,650,1178.9,760,1208.9,443.6,493.6,937.6,583.7,961.7,477.85,547.85,1012.83,637.85,1062.83,5405,5955,11430,7115,11724
19-06-02 12:34:40,DY7700,JFK,CPH,6/5/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,,,,1245,1351.4,,,,990.6,1074.7,,,,1059.07,1154.35,,,,12078,13103
19-06-02 12:34:40,DI7018,JFK,CPH,6/5/2019,22:25,18:15 +1,13,50,830,1,D82908,London,5h 0m,573.6,663.6,1066,1103.6,1286,405.4,455.4,774.6,790.4,934.6,474.01,544.01,948.98,982.09,1145.42,5089,5639,10201,10557,12315
19-06-02 12:34:56,,JFK,CPH,6/6/2019,23:30,15:25 +1,9,55,595,1,,Stockholm,1h 5m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-06-02 12:34:56,DI7018,JFK,CPH,6/6/2019,22:10,14:20 +1,10,10,610,1,D82906,London,1h 20m,895.7,985.7,1255.7,1685.7,1685.7,669.5,719.5,924.5,1234.5,1234.5,772.32,842.32,1118.86,1502.77,1502.77,8300,8850,12030,16161,16161
19-06-02 12:34:56,DY7002,JFK,CPH,6/6/2019,22:05,15:00 +1,10,55,655,1,DY940,Oslo,2h 25m,873.7,963.7,1123.7,1453.7,1453.7,598.1,648.1,758.3,1012.6,1012.6,679.87,749.87,861.36,1149.61,1149.61,7294,7844,9247,12349,12349
19-06-02 12:34:56,,JFK,CPH,6/6/2019,23:30,16:40 +1,11,10,670,1,,Stockholm,2h 20m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-06-02 12:34:56,,JFK,CPH,6/6/2019,23:30,18:25 +1,12,55,775,1,,Stockholm,4h 5m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
