,data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare,prices_lowfareplus,prices_flex,prices_prem,prices_premflex
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/27/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,781.4,871.4,1216.3,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/27/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,781.4,871.4,1216.3,,
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/27/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,848.4,938.4,1359.3,1458.4,1649.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,06/27/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,693.4,783.4,1397.8,,
5,19-05-23 13:05:48,DY7108,LAX,ARN,06/27/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,784,874,1397.8,,
0,19-05-23 13:05:48,DI7096,LAX,ARN,06/28/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,804.8,894.8,1216.3,1494.8,1576.3
1,19-05-23 13:05:48,DY7110,LAX,ARN,06/28/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,776.1,866.1,1397.8,1646.1,1917.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/29/19,18:00,13:35 +1,635,0,,,,569.9,659.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/29/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,571.4,661.4,1106.3,1471.4,1576.3
2,19-05-23 13:05:48,DY7108,LAX,ARN,06/29/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,792,882,1397.8,,
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/29/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,571.4,661.4,1106.3,1471.4,1576.3
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/29/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,625.9,715.9,1359.3,1475.9,1649.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/30/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,475.5,565.5,1015.1,1585.5,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/30/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,618.2,708.2,1123.1,1448.2,1483.1
2,19-05-23 13:05:48,DY7110,LAX,ARN,06/30/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,596.1,686.1,1397.8,1326.1,1597.8
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/30/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,432.7,522.7,1229.3,1452.7,1649.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,06/30/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,618.2,708.2,1123.1,1448.2,1483.1
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/01/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,486.5,576.5,1013.1,1376.5,1423.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/01/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,550.8,640.8,1397.8,1280.8,1597.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,07/01/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,578.7,668.7,1056.5,1593.7,1686.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/01/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,478.4,568.4,1229.3,1458.4,1649.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/01/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,486.5,576.5,1013.1,1376.5,1423.1
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/02/19,18:50,14:25 +1,635,0,,,,699.9,789.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/02/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,446.5,536.5,1013.1,1096.5,1143.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/02/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,446.5,536.5,1013.1,1096.5,1143.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/02/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,438.4,528.4,1229.3,1458.4,1649.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/03/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,376,466,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/03/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,521.4,611.4,1106.3,1411.4,1516.3
2,19-05-23 13:05:48,DY7098,LAX,ARN,07/03/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,558.4,648.4,1229.3,1458.4,1649.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,07/03/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,509.8,599.8,1106.3,1399.8,1516.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/04/19,15:45,11:20 +1,635,0,,,,479.9,569.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/04/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,408.2,498.2,1013.1,1388.2,1423.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/04/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,408.2,498.2,1013.1,1388.2,1423.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/04/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,427.4,517.4,1229.3,1487.4,1649.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,07/04/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,550.8,640.8,1397.8,1600.8,1917.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,07/04/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,618.7,708.7,1397.8,1668.7,1917.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/05/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,493.1,583.1,1106.3,853.1,1236.3
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/05/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,558.7,648.7,1397.8,1668.7,1917.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/06/19,18:00,13:35 +1,635,0,,,,339.9,429.9,859.9,,1189.9
1,19-05-23 13:05:48,DI7094,LAX,ARN,07/06/19,23:55,23:50 +1,895,1,D82858,London,2h 15m,419.8,509.8,1106.3,829.8,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/06/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,466.3,556.3,1106.3,1166.3,1236.3
3,19-05-23 13:05:48,DY7108,LAX,ARN,07/06/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,589.3,679.3,1397.8,1439.3,1597.8
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/06/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,419.8,509.8,1106.3,1119.8,1236.3
5,19-05-23 13:05:48,DY7098,LAX,ARN,07/06/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,439,529,1229.3,1279,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/07/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,306,396,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/07/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,443.1,533.1,1106.3,853.1,1236.3
2,19-05-23 13:05:48,DY7110,LAX,ARN,07/07/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,453.4,543.4,1397.8,1303.4,1597.8
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/07/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,339,429,1229.3,949,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/07/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,408.2,498.2,1013.1,818.2,1143.1
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/08/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,408.2,498.2,1013.1,818.2,1143.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/08/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,430.8,520.8,1397.8,970.8,1597.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,07/08/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,443.7,533.7,1056.5,993.7,1386.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/08/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,321.6,411.6,1229.3,931.6,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/08/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,396.5,486.5,1013.1,806.5,1143.1
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/09/19,18:50,14:25 +1,635,0,,,,339.9,429.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/09/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,408.2,498.2,1013.1,818.2,1143.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/09/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,396.5,486.5,1013.1,806.5,1143.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/09/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,345.9,435.9,1229.3,1255.9,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/10/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,336,426,1015.1,976,1345.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/10/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,414.8,504.8,1106.3,864.8,1236.3
2,19-05-23 13:05:48,DY7098,LAX,ARN,07/10/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,345.9,435.9,1229.3,1255.9,1429.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,07/10/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,414.8,504.8,1106.3,864.8,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/11/19,15:45,11:20 +1,635,0,,,,389.9,479.9,859.9,,1189.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/11/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,426.3,516.3,1106.3,1166.3,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/11/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,414.8,504.8,1106.3,1154.8,1236.3
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/11/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,380.5,470.5,1229.3,960.5,1429.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,07/11/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,558.7,648.7,1397.8,1348.7,1597.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,07/11/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,604,694,1397.8,1394,1597.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/12/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,609.5,699.5,1211.1,969.5,1341.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/12/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,672,762,1397.8,1462,1597.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/13/19,18:00,13:35 +1,635,0,,,,339.9,429.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/13/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,455.5,545.5,1211.1,905.5,1341.1
2,19-05-23 13:05:48,DY7108,LAX,ARN,07/13/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,645.9,735.9,1397.8,1185.9,1597.8
3,19-05-23 13:05:48,DI7096,LAX,ARN,07/13/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,426.3,516.3,1106.3,876.3,1236.3
4,19-05-23 13:05:48,DY7098,LAX,ARN,07/13/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,380.5,470.5,1229.3,960.5,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/14/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,376,466,1015.1,976,1345.1
1,19-05-23 13:05:48,DI7094,LAX,ARN,07/14/19,0:05,23:50,885,1,D82858,London,2h 5m,426.3,516.3,1106.3,876.3,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/14/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,414.8,504.8,1106.3,864.8,1236.3
3,19-05-23 13:05:48,DY7110,LAX,ARN,07/14/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,626.7,716.7,1397.8,1106.7,1597.8
4,19-05-23 13:05:48,DY7098,LAX,ARN,07/14/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,350.5,440.5,1229.3,960.5,1429.3
5,19-05-23 13:05:48,DI7096,LAX,ARN,07/14/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,403.1,493.1,1106.3,853.1,1236.3
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/15/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,403.1,493.1,1106.3,1143.1,1236.3
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/15/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,544,634,1397.8,1394,1597.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,07/15/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,353.7,443.7,1056.5,993.7,1386.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/15/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,327.4,417.4,1229.3,937.4,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/15/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,379.8,469.8,1106.3,1119.8,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/16/19,18:50,14:25 +1,635,0,,,,339.9,429.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/16/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,391.4,481.4,1106.3,841.4,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/16/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,391.4,481.4,1106.3,841.4,1236.3
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/16/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,387.4,477.4,1229.3,1267.4,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/17/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,376,466,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/17/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,403.1,493.1,1106.3,1143.1,1236.3
2,19-05-23 13:05:48,DY7098,LAX,ARN,07/17/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,369,459,1229.3,1279,1429.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,07/17/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,403.1,493.1,1106.3,1143.1,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/18/19,15:45,11:20 +1,635,0,,,,429.9,519.9,859.9,,1189.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/18/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,495.5,585.5,1211.1,1195.5,1341.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/18/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,495.5,585.5,1211.1,1195.5,1341.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/18/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,362.1,452.1,1229.3,972.1,1429.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,07/18/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,581.4,671.4,1397.8,1691.4,1917.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,07/18/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,626.7,716.7,1397.8,1736.7,1917.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/19/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,574.6,664.6,1211.1,1504.6,1621.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/19/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,645.9,735.9,1397.8,1185.9,1597.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/20/19,18:00,13:35 +1,635,0,,,,479.9,569.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7094,LAX,ARN,07/20/19,23:55,23:50 +1,895,1,D82858,London,2h 15m,414.8,504.8,1106.3,864.8,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/20/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,524.6,614.6,1211.1,1224.6,1341.1
3,19-05-23 13:05:48,DY7108,LAX,ARN,07/20/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,552,642,1397.8,1152,1597.8
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/20/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,454.8,544.8,1106.3,1154.8,1236.3
5,19-05-23 13:05:48,DY7098,LAX,ARN,07/20/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,422.1,512.1,1229.3,972.1,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/21/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,306,396,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/21/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,426.3,516.3,1106.3,876.3,1236.3
2,19-05-23 13:05:48,DY7110,LAX,ARN,07/21/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,489.3,579.3,1397.8,1129.3,1597.8
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/21/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,369,459,1229.3,1279,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/21/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,403.1,493.1,1106.3,853.1,1236.3
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/22/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,426.3,516.3,1106.3,876.3,1236.3
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/22/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,444,534,1397.8,1084,1597.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,07/22/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,443.7,533.7,1056.5,1293.7,1386.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/22/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,327.4,417.4,1229.3,937.4,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/22/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,403.1,493.1,1106.3,853.1,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/23/19,18:50,14:25 +1,635,0,,,,479.9,569.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/23/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,414.8,504.8,1106.3,864.8,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/23/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,403.1,493.1,1106.3,853.1,1236.3
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/23/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,345.9,435.9,1229.3,1255.9,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/24/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,606,696,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/24/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,426.3,516.3,1106.3,876.3,1236.3
2,19-05-23 13:05:48,DY7098,LAX,ARN,07/24/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,339,429,1229.3,949,1429.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,07/24/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,426.3,516.3,1106.3,876.3,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/25/19,15:45,11:20 +1,635,0,,,,569.9,659.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/25/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,495.5,585.5,1211.1,1195.5,1341.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/25/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,495.5,585.5,1211.1,1195.5,1341.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/25/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,433.7,523.7,1229.3,983.7,1429.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,07/25/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,506.7,596.7,1397.8,1416.7,1597.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,07/25/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,552,642,1397.8,1462,1597.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/26/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,484.6,574.6,1211.1,1224.6,1341.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/26/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,552,642,1397.8,1152,1597.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/27/19,18:00,13:35 +1,635,0,,,,749.9,839.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7094,LAX,ARN,07/27/19,23:55,23:50 +1,895,1,D82858,London,2h 15m,386.3,476.3,1106.3,876.3,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/27/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,426.3,516.3,1106.3,1166.3,1236.3
3,19-05-23 13:05:48,DY7108,LAX,ARN,07/27/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,608.6,698.6,1397.8,1208.6,1597.8
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/27/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,426.3,516.3,1106.3,1166.3,1236.3
5,19-05-23 13:05:48,DY7098,LAX,ARN,07/27/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,392.1,482.1,1229.3,972.1,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/28/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,466,556,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/28/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,414.8,504.8,1106.3,864.8,1236.3
2,19-05-23 13:05:48,DY7110,LAX,ARN,07/28/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,529.3,619.3,1397.8,1129.3,1597.8
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/28/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,410.5,500.5,1229.3,960.5,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/28/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,403.1,493.1,1106.3,853.1,1236.3
0,19-05-23 13:05:48,DI7096,LAX,ARN,07/29/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,403.1,493.1,1106.3,853.1,1236.3
1,19-05-23 13:05:48,DY7110,LAX,ARN,07/29/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,506.7,596.7,1397.8,1416.7,1597.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,07/29/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,533.7,623.7,1056.5,1293.7,1386.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/29/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,380.5,470.5,1229.3,960.5,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,07/29/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,403.1,493.1,1106.3,853.1,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,07/30/19,18:50,14:25 +1,635,0,,,,389.9,479.9,859.9,,1189.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/30/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,466.3,556.3,1106.3,876.3,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,07/30/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,443.1,533.1,1106.3,853.1,1236.3
3,19-05-23 13:05:48,DY7098,LAX,ARN,07/30/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,380.5,470.5,1229.3,960.5,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,07/31/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,606,696,1015.1,1576,1645.1
1,19-05-23 13:05:48,DI7096,LAX,ARN,07/31/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,454.8,544.8,1106.3,864.8,1236.3
2,19-05-23 13:05:48,DY7098,LAX,ARN,07/31/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,479,569,1229.3,949,1429.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,07/31/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,443.1,533.1,1106.3,853.1,1236.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,08/01/19,15:45,11:20 +1,635,0,,,,429.9,519.9,859.9,,1189.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,08/01/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,516.3,606.3,1106.3,1166.3,1236.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,08/01/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,493.1,583.1,1106.3,1143.1,1236.3
3,19-05-23 13:05:48,DY7098,LAX,ARN,08/01/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,462.1,552.1,1229.3,972.1,1429.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,08/01/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,544,634,1397.8,1714,1917.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,08/01/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,589.3,679.3,1397.8,1759.3,1917.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,08/02/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,495.5,585.5,1211.1,1195.5,1341.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,08/02/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,566.7,656.7,1397.8,1416.7,1597.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,08/03/19,18:00,13:35 +1,635,0,,,,429.9,519.9,859.9,,1189.9
1,19-05-23 13:05:48,DI7094,LAX,ARN,08/03/19,23:55,23:50 +1,895,1,D82858,London,2h 15m,403.1,493.1,1106.3,853.1,1236.3
