,data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare,prices_lowfareplus,prices_flex,prices_prem,prices_premflex
3,19-05-23 13:05:48,DY7098,LAX,ARN,05/30/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,687.4,777.4,1229.3,1487.4,1649.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,05/30/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,953.4,1043.4,1527.8,1623.4,1917.8
5,19-05-23 13:05:48,,LAX,ARN,05/30/19,16:35,23:45 +1,1330,1,,Barcelona,7h 40m,0,0,0,0,0
0,19-05-23 13:05:48,DI7096,LAX,ARN,05/31/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,932.9,1022.9,1269.4,,
1,19-05-23 13:05:48,,LAX,ARN,05/31/19,20:00,21:05 +1,965,1,,Barcelona,1h 35m,0,0,0,,
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/01/19,18:00,13:35 +1,635,0,,,,789.9,879.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/01/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,1154.1,1244.1,1444.1,,
2,19-05-23 13:05:48,,LAX,ARN,06/01/19,18:25,20:50 +1,1045,1,,Barcelona,2h 55m,0,0,0,0,0
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/01/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,979.4,1069.4,1269.4,,
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/01/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,,,1417.1,,
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/02/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,801.5,891.5,,1291.5,
1,19-05-23 13:05:48,DY7084,LAX,ARN,06/02/19,20:30,20:30 +1,900,1,DY4122,Oslo,3h 45m,801.5,891.5,1015.1,1291.5,1345.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/02/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,792.9,882.9,1269.4,,
3,19-05-23 13:05:48,DY7110,LAX,ARN,06/02/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,889.3,979.3,1527.8,1439.3,1597.8
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/02/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,1232.1,1322.1,1359.3,,
5,19-05-23 13:05:48,DI7096,LAX,ARN,06/02/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,734.6,824.6,1211.1,,
6,19-05-23 13:05:48,DY7110,LAX,ARN,06/02/19,20:00,23:45 +1,1125,1,DY4254,Barcelona,4h 15m,912,1002,1527.8,1462,1597.8
0,19-05-23 13:05:48,DY7092,LAX,ARN,06/03/19,18:00,17:05 +1,845,1,DY4162,Copenhagen,2h 15m,,,,1593.7,1686.5
1,19-05-23 13:05:48,DY7092,LAX,ARN,06/03/19,18:00,18:20 +1,920,1,D83212,Copenhagen,3h 30m,,,,1692.4,1769.2
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/03/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,734.8,824.8,1106.3,1494.8,1576.3
3,19-05-23 13:05:48,DY7110,LAX,ARN,06/03/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,889.3,979.3,1527.8,1759.3,1917.8
4,19-05-23 13:05:48,DY7092,LAX,ARN,06/03/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,,,,1723.7,1769.2
5,19-05-23 13:05:48,DY7098,LAX,ARN,06/03/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,712.7,802.7,1359.3,1452.7,1649.3
6,19-05-23 13:05:48,DI7096,LAX,ARN,06/03/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,711.4,801.4,1106.3,1471.4,1576.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/04/19,18:50,14:25 +1,635,0,,,,609.9,699.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/04/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,658.8,748.8,1013.1,1418.8,1483.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/04/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,676.5,766.5,1013.1,1436.5,1483.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/04/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,712.7,802.7,1359.3,1232.7,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/05/19,19:40,17:30 +1,770,1,DY4116,Oslo,1h 35m,865.3,955.3,1056.9,1615.3,1686.9
1,19-05-23 13:05:48,DY7084,LAX,ARN,06/05/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,865.3,955.3,1056.9,1615.3,1686.9
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/05/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,676.5,766.5,1013.1,1436.5,1483.1
3,19-05-23 13:05:48,DY7084,LAX,ARN,06/05/19,19:40,20:30 +1,950,1,DY4122,Oslo,4h 35m,877.3,967.3,1056.9,1627.3,1686.9
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/05/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,718.4,808.4,1229.3,1458.4,1649.3
5,19-05-23 13:05:48,DI7096,LAX,ARN,06/05/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,711.4,801.4,1106.3,1471.4,1576.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/06/19,15:45,11:20 +1,635,0,,,,789.9,879.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/06/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,711.4,801.4,1106.3,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/06/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,723.1,813.1,1106.3,,
3,19-05-23 13:05:48,,LAX,ARN,06/06/19,20:00,00:40 +2,1180,1,,Paris,6h 30m,0,0,0,0,0
4,19-05-23 13:05:48,DY7108,LAX,ARN,06/06/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,753.4,843.4,1397.8,1303.4,1597.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,06/06/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,844,934,1397.8,1394,1597.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,06/07/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,1037.5,1127.5,1269.4,,
1,19-05-23 13:05:48,DY7110,LAX,ARN,06/07/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,792,882,1397.8,1462,1597.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/08/19,18:00,13:35 +1,635,0,,,,,,999.9,,
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/08/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,1154.1,1244.1,1444.1,,
2,19-05-23 13:05:48,,LAX,ARN,06/08/19,18:25,20:50 +1,1045,1,,Barcelona,2h 55m,0,0,0,0,0
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/08/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,979.4,1069.4,1269.4,,
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/08/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,914.9,1004.9,1474.9,1764.9,1764.9
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/09/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,1101.5,1191.5,1155.1,,
1,19-05-23 13:05:48,DY7084,LAX,ARN,06/09/19,20:30,20:30 +1,900,1,DY4122,Oslo,3h 45m,1101.5,1191.5,1155.1,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/09/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,775.5,865.5,1211.1,,
3,19-05-23 13:05:48,DY7110,LAX,ARN,06/09/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,769.3,859.3,1397.8,1129.3,1597.8
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/09/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,803,893,1359.3,,
5,19-05-23 13:05:48,DI7096,LAX,ARN,06/09/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,746.3,836.3,1106.3,,
6,19-05-23 13:05:48,DY7110,LAX,ARN,06/09/19,20:00,23:45 +1,1125,1,DY4254,Barcelona,4h 15m,769.3,859.3,1397.8,1129.3,1597.8
0,19-05-23 13:05:48,DY7092,LAX,ARN,06/10/19,18:00,17:05 +1,845,1,DY4162,Copenhagen,2h 15m,1103.7,1193.7,1196.5,1593.7,1686.5
1,19-05-23 13:05:48,DY7092,LAX,ARN,06/10/19,18:00,18:20 +1,920,1,D83212,Copenhagen,3h 30m,1119.3,1209.3,1196.5,1609.3,1686.5
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/10/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,781.4,871.4,1216.3,1471.4,1576.3
3,19-05-23 13:05:48,DY7110,LAX,ARN,06/10/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,742.1,832.1,1397.8,1292.1,1597.8
4,19-05-23 13:05:48,DY7092,LAX,ARN,06/10/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,1119.3,1209.3,1196.5,1609.3,1686.5
5,19-05-23 13:05:48,DY7098,LAX,ARN,06/10/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,712.7,802.7,1359.3,1452.7,1649.3
6,19-05-23 13:05:48,DI7096,LAX,ARN,06/10/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,746.5,836.5,1123.1,1436.5,1483.1
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/11/19,18:50,14:25 +1,635,0,,,,,,999.9,,
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/11/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,728.8,818.8,1013.1,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/11/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,728.8,818.8,1013.1,,
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/11/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,712.7,802.7,1359.3,,
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/12/19,19:40,17:30 +1,770,1,DY4116,Oslo,1h 35m,1101.5,1191.5,1155.1,,
1,19-05-23 13:05:48,DY7084,LAX,ARN,06/12/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,1125.3,1215.3,1196.9,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/12/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,676.5,766.5,1013.1,,
3,19-05-23 13:05:48,DY7084,LAX,ARN,06/12/19,19:40,20:30 +1,950,1,DY4122,Oslo,4h 35m,1101.5,1191.5,1155.1,,
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/12/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,842.7,932.7,1359.3,,
5,19-05-23 13:05:48,DI7096,LAX,ARN,06/12/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,688.2,778.2,1013.1,,
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/13/19,15:45,11:20 +1,635,0,,,,,,929.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/13/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,1233.1,1323.1,1326.3,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/13/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,1186.5,1276.5,1233.1,,
3,19-05-23 13:05:48,,LAX,ARN,06/13/19,20:00,00:40 +2,1180,1,,Paris,6h 30m,0,0,0,0,0
4,19-05-23 13:05:48,DY7108,LAX,ARN,06/13/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,883.4,973.4,1527.8,1623.4,1917.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,06/13/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,872.1,962.1,1527.8,1612.1,1917.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,06/14/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,994.6,1084.6,1321.1,,
1,19-05-23 13:05:48,DY7110,LAX,ARN,06/14/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,1210.8,1300.8,1527.8,1600.8,1917.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/15/19,18:00,13:35 +1,635,0,,,,,,999.9,,
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/15/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,994.6,1084.6,1321.1,,
2,19-05-23 13:05:48,DY7108,LAX,ARN,06/15/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,1002.5,1092.5,1527.8,,
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/15/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,994.6,1084.6,1321.1,,
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/15/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,1185.9,1275.9,1359.3,,
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/16/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,961.5,1051.5,1015.1,,
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/16/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,793.1,883.1,1216.3,,
2,19-05-23 13:05:48,DY7110,LAX,ARN,06/16/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,633.4,723.4,1527.8,1303.4,1597.8
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/16/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,1298.4,1388.4,1489.3,,
4,19-05-23 13:05:48,DI7096,LAX,ARN,06/16/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,769.8,859.8,1216.3,,
0,19-05-23 13:05:48,DI7096,LAX,ARN,06/17/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,806.5,896.5,1123.1,,
1,19-05-23 13:05:48,DY7110,LAX,ARN,06/17/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,587.4,677.4,1527.8,1577.4,1917.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,06/17/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,1119.3,1209.3,1196.5,1609.3,1686.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/17/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,712.7,802.7,1359.3,,
4,19-05-23 13:05:48,DI7096,LAX,ARN,06/17/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,806.5,896.5,1123.1,,
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/18/19,18:50,14:25 +1,635,0,,,,789.9,879.9,859.9,,
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/18/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,723.1,813.1,1216.3,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/18/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,723.1,813.1,1216.3,,
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/18/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,912.7,1002.7,1359.3,,
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/19/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,901.1,991.1,1056.9,,
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/19/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,676.3,766.3,1216.3,,
2,19-05-23 13:05:48,DY7098,LAX,ARN,06/19/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,918.4,1008.4,1359.3,,
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/19/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,664.8,754.8,1216.3,,
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/20/19,15:45,11:20 +1,635,0,,,,749.9,839.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/20/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,658.8,748.8,1123.1,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/20/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,658.8,748.8,1123.1,,
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/20/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,941.6,1031.6,1359.3,,
4,19-05-23 13:05:48,DY7108,LAX,ARN,06/20/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,633.4,723.4,1397.8,,
5,19-05-23 13:05:48,DY7108,LAX,ARN,06/20/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,633.4,723.4,1397.8,,
0,19-05-23 13:05:48,DI7096,LAX,ARN,06/21/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,841.4,931.4,1216.3,,
1,19-05-23 13:05:48,DY7110,LAX,ARN,06/21/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,813.4,903.4,1527.8,1623.4,1917.8
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/22/19,18:00,13:35 +1,635,0,,,,659.9,749.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/22/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,734.8,824.8,1216.3,1494.8,1576.3
2,19-05-23 13:05:48,DY7108,LAX,ARN,06/22/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,825.9,915.9,1397.8,1495.9,1597.8
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/22/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,711.4,801.4,1216.3,1471.4,1576.3
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/22/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,687.4,777.4,1359.3,1487.4,1649.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/23/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,555.3,645.3,1056.9,1615.3,1686.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/23/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,641.4,731.4,1216.3,1471.4,1576.3
2,19-05-23 13:05:48,DY7110,LAX,ARN,06/23/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,596.1,686.1,1397.8,1326.1,1597.8
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/23/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,512.7,602.7,1229.3,1452.7,1649.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,06/23/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,641.4,731.4,1216.3,1471.4,1576.3
0,19-05-23 13:05:48,DI7096,LAX,ARN,06/24/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,588.8,678.8,1123.1,1418.8,1483.1
1,19-05-23 13:05:48,DY7110,LAX,ARN,06/24/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,550.8,640.8,1397.8,1280.8,1597.8
2,19-05-23 13:05:48,DY7092,LAX,ARN,06/24/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,713.7,803.7,1056.5,1593.7,1686.5
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/24/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,472.7,562.7,1229.3,1232.7,1429.3
4,19-05-23 13:05:48,DI7096,LAX,ARN,06/24/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,588.8,678.8,1123.1,1418.8,1483.1
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/25/19,18:50,14:25 +1,635,0,,,,659.9,749.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/25/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,658.8,748.8,1123.1,1418.8,1483.1
2,19-05-23 13:05:48,DI7096,LAX,ARN,06/25/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,658.8,748.8,1123.1,1418.8,1483.1
3,19-05-23 13:05:48,DY7098,LAX,ARN,06/25/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,512.7,602.7,1229.3,1452.7,1649.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/26/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,517.3,607.3,1056.9,1627.3,1686.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/26/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,781.4,871.4,1216.3,1471.4,1576.3
2,19-05-23 13:05:48,DY7098,LAX,ARN,06/26/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,602.7,692.7,1229.3,1452.7,1649.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/26/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,781.4,871.4,1216.3,1471.4,1576.3
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/27/19,15:45,11:20 +1,635,0,,,,609.9,699.9,859.9,,1489.9
